Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C23, C24, C25, C29, C30, C31",1206,7,22u,C12891
"C11, C90",CP_Elec_6.3x7.7,2,220u,C970695
"C20, C21, C22, C26, C27, C28, C40, C60, C70, C71",0805,10,100n,C49678
D40,D_SOD-323,1,1N4148,C2128
R10,0805,1,22k,C17560
R11,0805,1,3k,C17661
R12,0805,1,0R,C17477
R13,0805,1,6k8,C17772
R14,0805,1,1k,C17513
R15,0805,1,300R,C17617
"R16, R40, R60, R70, R80",0805,5,100k,C149504
"R17, R20, R21, R22, R23, R24, R25",0805,7,68k,C17801
"R90, R91, R92, R93, R94",0805,5,4k7,C17673
"U20, U21, U22, U23, U24, U25",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,6,DRV8871DDA,C75864
U60,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,C2678753
"U70, U71",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HC540,C2682166
